번호,외래어,원어,순화어
12042,포피유,poppy(영)油,양귀비 기름
12041,포퓰리즘,populism(영),"대중주의, 대중 영합주의"
12040,포퓰리스트,populist(영),"대중주의자, 대중 영합주의자"
12039,포퓰러 드라마,popular drama(영),대중극
12038,포틴 클럽 룰,14 club rule(영),14 채 사용 규칙
12037,포트밀,potmill(영),"갈개, 유약 갈개"
12036,포트레이트,portrait(영),"세로, 세로 방향"
12035,포토커플러,PhotoCoupler(영),광결합기(光結合器)
12034,포토저널리스트,photojournalist(영),사진작가
12033,포토센서,PhotoSensor(영),광감지기(光感知機)
12032,포토데이,photo day(영),사진 홍보
12031,포토 타임,photo time(영),"촬영 시간, 사진 촬영 시간"
12030,포토 라인,photo line(영),사진 선
12029,포테이토샐러드,potato salad(영),감자 샐러드
12028,포테이토,french fried potato(영),"튀긴 감자, 감자 튀김"
12027,"포터블, 포터블 제품",portable(영),"휴대용, 휴대용 제품"
12026,포터블 컴퓨터,portable computer(영),휴대용 컴퓨터
12025,포크 플레이,folk play(영),민속극
12024,포커페이스,poker face(영),무표정
12023,포커스마켓,focus market(영),주요 시장
12022,포칭,poaching(영),가로채기
12021,포징,forging(영),벼림질
12020,포지션 플레이,position play(영),위치 활용작전
12019,포지션,position(영),① 위치 ② 자리
12018,포즈02,pause(영),① 사이 ② 휴지(休止)
12017,포즈01,pose(영),자세
12016,포적,布積,켜쌓기
12015,포인팅,pointing(영),찌르기
12014,포인트02,point(영),득점
12013,포인트 오브 어택,point of attack(영),구성 시작점
12012,포인트 레이스,point race(영),득점 경기
12011,포워드 스윙,forward swing(영),앞 내밀기
12010,포워드 린,foreward lean(영),"전경 자세, 앞 체중 싣기, 앞쪽 체중 싣기"
12009,포워드,forward(영),"앞 수비, 앞 수비지역, 전위, 전위 공격수"
12008,포엽,苞葉,이삭잎
12007,포암 패스,forearm pass(영),팔뚝 연결
12006,포스트프로덕션,post-production(영),후반 작업
12005,포스트맨,post man(영),"공격수, 장신공격수"
12004,포스트~,post ~,~이후
12003,포스트 플레이,post play(영),말뚝 작전
12002,포스트 월드컵,post world cup(영),월드컵 이후
12001,포스트,post(영),① 직위 ② 부서
12000,포수대,飽水帶,포화수대
11999,포비슴,fauvisme(프),"야수파, 야수주의"
11998,포복경,匍匐莖,기는 줄기
11997,포바디,forebody(영),전단부
11996,포메이션,formation(영),"대형, 대형갖추기, 진형, 진형갖추기"
11995,포멀웨어,formal wear(영),정장
11994,포멀 세팅,formal setting(영),추상 무대 장치
11993,포말괴,泡沫塊,거품 덩이
11992,포름,forme(프),"형태, 꼴"
11991,포르노그래피,pornography(영),성애물
11990,포르노,pornograph(영),① 외설물 ② 도색물
11989,"포기, 포기조",曝氣槽,"공기공급, 공기공급조"
11988,포 히츠,four hits(영),"네 번 닿기, 네 번 닿기 반칙"
11987,포 캐디,fore caddie(영),전방 신호수
11986,폐혈전 색전증,肺血栓 塞栓症,허파 혈전 색전증
11985,폐합절선,閉合折線,폐합 트래버스
11984,폐포 내출혈,肺胞 內出血,허파 꽈리 속출혈
11983,폐제,廢堤,폐짓둑(廢止-)
11982,폐일언,蔽一言,한마디로
11981,폐수종,肺水腫,폐부종
11980,폐쇄성 계제,閉鎖性 係蹄,닫힌 올가미
11979,폐성심,肺性心,허파 심장증
11978,폐색막,閉塞膜,"보호막, 묶음끈"
11977,폐색 방식,閉塞方式,막힌 운행방식
11976,폐색 구간,閉塞區間,막힌운행구간
11975,폐비,閉比,폐합비(閉合比)
11974,폐렴,肺炎,"허파염, 폐렴"
11973,폐동맥 판 협착증,肺動脈 瓣 狹窄症,허파동맥 판막 협착증
11972,폐농양,肺膿瘍,"폐고름집, 폐농양"
11971,폐기종,肺氣腫,폐공기종
11970,평휴,平畦,평이랑
11969,평필,平筆,넓적붓
11968,평파식공,平播植工,넓적다발심기
11967,평천장,平天障,납작천장(flat ceiling)
11966,평접합,平接合,평줄눈
11965,평저발,平底鉢,납작밑바리(bowl with flattened base)
11964,평와,平瓦,평기와(flat tile)
11963,평예법,平刈法,평뜨기
11962,평예,坪刈,"둘레베기, 둘레깎기"
11961,평사,平舍,"바닥기르기, 바닥장"
11960,편호,扁壺,납작 항아리
11959,편타 손상,鞭打 損傷,채찍질 상처
11958,편책호안공,編柵護岸工,바자기슭막이
11957,편책유토공,編柵留討工,바자흙막이
11956,편책수로,編柵水路,"바자수로, 바자도랑"
11955,편책보안공,編柵保岸工,바자기슭막이
11954,편책보곡공,編柵保谷工,바자골막이
11953,편책댐,編柵-dam(영),바자댐
11952,편책공,編柵工,바자얽기
11951,편책,編柵,바자
11950,편애,偏愛,치우친 사랑
11949,편석,片石,깬돌
11948,편상화,編上靴,목구두
11947,편병,扁甁,"납작병, 자라병"
11946,편벌,編筏,뗏목엮기
11945,편물,編物,뜨개것
11944,편구배,片勾配,외쪽물매
11943,편경사,扁傾斜,횡단기울기
11942,펠팅기,felting machine(영),부풀리개
11941,펠로십,fellowship(영),연구 지원금
11940,펠로 컴페티터,fellow competitor(영),동반 경기자
11939,펜트하우스,penthouse(영),하늘채
11938,펜시 게이트,fency gate(영),"담장문, 담장문장애물"
11937,펜션,pension(영),"고급 민박, 고급 민박집"
11936,펜듈럼 볼,pendulum ball(영),흔들이공
11935,페트롤,petrolatum(영),유화(油畵) 기름
11934,페치카,pechka(러),벽난로
11933,페인팅02,feinting(영),속임 동작
11932,페인팅01,painting(영),"색칠, 그림, 회화"
11931,페인팅 나이프,painting knife(영),그림칼
11930,페인트 존,paint zone(영),3초 제한 구역
11929,페인트 모션,feint motion(영),속임 동작
11928,페인트 건,paint gun(영),칠분무기
11927,페인트,feint(영),속임 동작
11926,페인터스 엘러베이션,painter's elevation(영),그림 입면도
11925,페이퍼튜브,paper tube(영),"그림, 회화"
11924,페이퍼메이킹,paper making(영),종이 대롱
11923,페이퍼 컴퍼니,paper company(영),"서류상 회사, 유령 회사"
11922,페이크,fake(영),"속임수, 속임 동작"
11921,페이지 뷰,page view(영),① 쪽보기 ② 방문자 수
11920,페이지 넘버,page number(영),쪽번호
11919,페이스메이킹,pacemaking(영),속도 조절
11918,페이스매핑,Face mapping(영),사면전개도
11917,페이스 페인팅,face painting(영),얼굴 그림
11916,페이스 메이커,pace maker(영),도움 선수
11915,페이스,face(영),접촉면
11914,"페이소스, 파토스",pathos(그),"정한(情恨), 애상(哀傷), 애수(哀愁)"
11913,페이백,pay back(영),보상 환급
11912,페이드,fade(영),오른쪽 흐름
11911,페어플레이,fair play(영),정당한 대결
11910,페어웨이,fairway(영),적정 구역
11909,페어 플라이,fair fly(영),산 뜬공
11908,페어 볼,fair ball(영),산 공
11907,페어 그라운드,fair ground(영),내역
11906,페어,fair(영),"정당한, 깨끗한"
11905,페어,pair(영),짝
11904,페디큐어,pedicure(영),발톱 화장
11903,페더레이션 컵,federation cup(영),세계 여자국가 대항전
11902,페달링,pedaling(영),발판 밟기
11901,페달 푸싱,pedal pushing(영),번갈아 누르기
11900,페다시로,,먹판 음각
11899,페널티킥,penalty kick(영),벌칙차기
11898,페널티 킥 마크,penalty kick mark(영),벌칙차기 지점
11897,페널티 코너 마크,penalty corner mark(영),공 투입 지점
11896,페널티 에어리어,penalty area(영),벌칙구역
11895,페널티 스폿,penalty spot(영),반칙 지점
11894,페널티 스트로크,penalty stroke(영),벌타
11893,페넌트 레이스,pennant race(영),①정규 경기 ②정규 레이스
11892,펑키룩,funky look(영),펑키 차림
11891,펑션 키,function key(영),"기능 글쇠, 기능 키"
11890,펑션 제너레이터,Function Gererator(영),함수 발생기(函數發生機)
11889,펑션,function(영),"기능, 함수"
11888,펌프 에어 건,pump air gun(영),펌프식 공기총
11887,펌블,fumble(영),"놓침, 잡다 놓침"
11886,펀칭하다,punching(영),쳐내다
11885,펀칭기,punching machine(영),디딜판
11884,펀치 샷,punch shot(영),"낮게 몰아 치기, 눌러 박아치기"
11883,펀치,punch(영),주먹
11882,펀드 매니저,fund manager(영),"투자관리자, 투자금 관리자"
11881,펀더멘털,fundamental(영),"기초여건, 경제 기초여건"
11880,퍼포먼스인덱스,Performance Index(영),성능지수(性能指數)
11879,퍼포먼스 예술,performance(영)-藝術,행위예술
11878,퍼포먼스,performance(영),"1. 속공연, 2. 설정극"
11877,퍼펙트 게임,perfect game(영),완전 경기
11876,퍼팅 라인,putting line(영),퍼팅선
11875,퍼터베이션,Perturbation(영),섭동(攝動)
11874,퍼즐,puzzle(영),"짜 맞추기, 알아맞히기"
11873,퍼스트 서브,first serve(영),첫 메김
11872,"퍼스트 베이스, 퍼스트 베이스 맨",first base man(영),"1루, 1루수"
11871,퍼스트 레퍼리,first referee(영),주심
11870,퍼스널 파울,personal foul(영),접촉 반칙
11869,퍼스널 컴퓨터,personal computer(영),개인용 컴퓨터
11868,퍼스낼리티,personality(영),개성
11867,퍼블릭 코스,public course(영),대중 골프장
11866,퍼블릭 시어터,public theatre(영),공공 극장
11865,퍼블리시티,publicity(영),"광고, 대중성"
11864,퍼머넌트프레스,permanent press(영),구멍뚫이
11863,퍼머넌트롤,permanent roll(영),퍼머감개
11862,퍼머넌트 픽스처,permanent fixture(영),코트 시설물
11861,퍼내티시즘,fanaticism(영),"열광주의, 광신주의"
11860,퍼그밀,pugmill(영),불변 주름
11859,팽드르(페인드),peindre(프),"반죽틀, 흙반죽틀"
11858,팬시점,fancy(영)-店,선물 가게
11857,팬레터,fan letter(영),애호가 편지
11856,팬덤,fandom(영),"열성 팬, 열성 조직"
11855,팬03,←panning(영),훑어찍기
11854,팬01,fan(영),애호가
11853,팩토리얼,factorial(영),순차곱셈
11852,팩터,factor(영),인수
11851,팩션,faction(←fact+fiction)(영),각색실화
11850,팩,pack(영),압축
11849,패티너,patina(영),녹임 기름
11848,패트롤카,patrol car(영),순찰차
11847,패키지 여행,package(영)-旅行,"한묶음, 한묶음 여행"
11846,패키지,package(영),"① 꾸러미 ② 묶음, 한묶음"
11845,패치포켓,patch pocket(영),"붙임주머니, 덧주머니"
11844,패옥,佩玉,"드리개옥, 패옥(pendant jade)"
11843,패싱 앵글,passing angle(영),공 주기 각도
11842,패싱 샷,passing shot(영),공빼기
11841,패싱 더 센터라인,passing the centerline(영),중앙선 넘기
11840,패시지,passage(영),"껑충걷기, 발 높이 걷기"
11839,패시브하우스,passive house(영),초단열주택
11838,패스하다,pass(영)--,"전하다, 건네다, 연계하다, 지나다, 합격하다, 통과하다"
11837,패스트푸드,fast-food(영),즉석 음식
11836,패스트 트랙,fast track(영),신속 처리제
11835,패스트 브레이크,fast break(영),속공
11834,패스트 볼,passed ball(영),놓친 공
11833,패스트 그린,fast green(영),빠른 그린
11832,패스 미스,pass miss(영),"잘못 주기, 잘못 주다"
11831,패스,pass(영),① 통과 ② 합격
11830,패셔너블하다,fashionable(영)--,"멋지다, 감각적이다"
11829,패밀리 레스토랑,family restaurant(영),가족 식당
11828,패럴렐 턴,parallel turn(영),평행 회전
11827,패럴렐 바,parallel bar(영),평행 장애물
11826,패럴렐,parallel(영),평행 활주
11825,패러다임,paradigm(영),"틀, 체계"
11824,패들링,paddling(영),"노질, 노젓기"
11823,패드,pad(영),"받침, 느리개, 채우개"
11822,패드,fad(영),지속 유행
11821,패닉룸,panic room(영),피신처
11820,패닉 상태,panic(영) 狀態,공황 상태
11819,패널,panel(영),토론자
11818,패그엔드,fagend(영),고루들이기
11817,패각분말,貝殼粉末,조가비 가루
11816,팝업 북,pop-up book(영),입체책
11815,팝업 윈도우,pop-up window(영),알림창
11814,팝업 스토어,pop-up store(영),반짝매장
11813,팝아트,pop art(영),대중 미술
11812,팝송,←popular song(영),"대중가요, 외국 대중가요"
11811,팜 레스트,palm rest(영),손바닥 받침대
11810,팜 그립,palm grip(영),손바닥 쥐기
11809,팔주령,八珠鈴,여덟가지 방울(shaman tool with eight bells)
11808,팔위,八圍,여덟에움
11807,팔부바지,八分-,팔푼 바지
11806,팔로잉,following(영),따름벗
11805,팔로어,follower(영),딸림벗
11804,팔로 스폿,follow spot(영),"이동 집중 조명, 이동 집중 조명기"
11803,팔레트나이프,palette(프) knife(영),"갤칼, 팔레트 칼"
11802,팔레트,palette(프),갤판
11801,판토마임(→ 팬터마임),pantomime(영),무언극
11800,판타지 동화,fantasy(영) 童話,환상 동화
11799,판타지,fantasy(영),환상
11798,판타스틱하다,fantastic(영)--,① 환상적이다 ② 공상적이다
11797,판책공,板柵工,"판자울얽기, 판자울짱얽기"
11796,판자보곡공,板子保谷工,널골막이
11795,판원,板垣,"널울, 널울타리"
11794,판수라,板修羅,판자미끄럼길
11793,판매고,판매高,"판매액, 매출액"
11792,판돌,板石,판석
11791,판금,販禁,판매 금지
11790,판갑옷,板甲-,"비늘갑옷, 판갑옷(plate armour)"
11789,파형 유리,波形 琉璃,주름 유리
11788,파폭,播幅,골나비
11787,파판공,波板工,물결받이
11786,파티장,party(영)-場,연회장
11785,파티션,partition(영),가르기
11784,파트타임,part time(영),시간제근무
11783,파트너십 이니셔티브,partnership initiative(영),친선 발의권
11782,파트너사,partner(영) 社,협력사
11781,파초,芭蕉,바나나
11780,파천,派川,지류
11779,파지공,波止工,파도막이
11778,파종조림,播種造林,씨뿌림 조림
11777,파종성 혈관 내 응고 병증,播種性 血管 內 凝固 病症,파종 혈관 내 응고
11776,파자마,pajamas(힌),자리옷
11775,파일럿,pilot(영),"조종사, 뱃길잡이"
11774,파일네임,filename(영),"철, 기록철, 파일 이름"
11773,파인드,find(영),찾기
11772,파인 플레이,fine play(영),"멋진 경기, 깨끗한 경기"
11771,"파이핑, 파이핑 현상",piping(영) 現象,"누수, 누수 현상"
11770,파이팅,fighting(영),"힘내자!, 아자"
11769,파이어니어,pioneer(영),① 개척자 ② 선구자
11768,파이브 파울,five foul(영),5 반칙
11767,파이버02,fiber(영),안전모
11766,파이널 게임,final game(영),마지막 경기
11765,파워풀하다,powerful(영)--,힘있다
11764,파워,power(영),"①전원 ②제곱, 승"
11763,파울 플라이,foul fly(영),빗뜬공
11762,파울 팁,foul tip(영),스친공 잡음
11761,파울 트러블,foul trouble(영),① 반칙 제약 ② 반칙 약점
11760,파울 스로,foul throw(영),던지기 반칙
11759,파울 볼,foul ball(영),빗나간 공
11758,파운드리,foundry(영),"조립, 조립 생산"
11757,파우더02,powder(영),분
11756,파우더01,powder(영),화약
11755,파우더 스노,powder snow(영),가루눈
11754,파열,破裂,"터짐, 파열"
11753,파스텔컬러,pastel color(영),"파스텔, 은은한 색조"
11752,파스,farce(영),소극(笑劇)
11751,파선줄눈,破線-,막힌줄눈
11750,파브강,Pabgang(독),평지 활주
11749,파밍,pharming(영),사이트금융사기
11748,파렌,Parenthese(독),소괄호
11747,"파랑 경보, 파랑 주의보",波浪警報,"물결 경보, 물결주의보"
11746,파라미터,parameter(영),매개 변수
11745,파노라마 선루프,panorama sunroof(영),전면 지붕창
11744,파(PAR)라이트,PAR light(영),"반사 조명, 반사 조명기"
11743,파 플레이,par play(영),기준타 경기
11742,파,par(영),기준타
11741,팁03,tip(영),스키코
11740,팁02,tip(영),속임 동작
11739,팁01,tip(영),불촉
11738,"팀워크, 팀 워크",teamwork(영),"결속, 결속력"
11737,팀닥터,team doctor(영),"전담의사, 팀전담의사, 전속의사, 팀전속의사, 팀주치의"
11736,"팀 포메이션, 팀포메이션",team formation(영),"팀 대형(隊形), 팀 진형"
11735,팀 퍼슈트 레이스,team pursuit race(영),단체 추발(追拔) 경기
11734,팀 타임 트라이얼 레이스,team time trial race(영),단체 도로 기록 경기
11733,팀 컬러,team color(영),"팀 색깔, 팀 특징, 팀 성향"
11732,팀 어펜스,team offense(영),단체 공격
11731,팀 로드 레이스,team road race(영),단체 도로 경기
11730,팀 디펜스,team defense(영),단체 수비
11729,팀,team(영),"편, 조"
11728,틸팅열차,tilting列車,준고속열차
11727,티핑 포인트,tipping point(영),급변점
11726,티티(TT),TT(telegraphic transfer(영)),전신환
11725,티테이블,tea table(영),차탁자
11724,티타임,teatime(영),휴식 시간
11723,티케팅,ticketing(영),"①표사기, 표팔기, 표사고팔기 ②검표, 표검사"
11722,티처보이,teacher boy(영),교사의존학생
11721,티저포스터,teaser poster(영),예고 포스터
11720,티저 광고,teaser(영) 廣告,호기심 유발 광고
11719,티슈,tissue(영),화장지
11718,티 펙,tee peg(영),받침대
11717,티 오프,tee off(영),출발
11716,티 업,tee up(영),공 올리기
11715,티 샷,tee shot(영),첫 타 치기
11714,티 바 리프트,T-bar lift(영),T자형 리프트
11713,티 마크,tee mark(영),첫 타 구역 표지
11712,티 그라운드,tee ground(영),첫 타 구역
11711,티,tee(영),①첫 타 구역 ②받침대
11710,특발,特發,따로 발차
11709,트위스팅,twisting(영),철사꼬기
11708,"트릭, 트릭 공격","trick(영), trick(영)攻擊",속임 공격
11707,트릭 샷,trick shot(영),기교치기
11706,트릭,trick(영),속임수
11705,트리핑 파울,tripping foul(영),"걸기 반칙, 발 걸기 반칙"
11704,트리플 플레이,triple play(영),셋잡이
11703,트리플 스틸,triple steal(영),삼중 도루
11702,트리플 바,triple bar(영),3단 장애물
11701,트리트먼트,treatment(영),머릿결영양제
11700,트리거,trigger(영),방아쇠
11699,트리,tree(영),나무꼴
11698,트루 리얼리즘,true realism(영),참 사실주의
11697,트롯,trot(영),"빨리걷기, 속보"
11696,트로이카,troika(러),삼두 마차
11695,트렌디 드라마,trendy drama(영),"유행극, 최신 유행극"
11694,트렌드세터,trend setter(영),유행 선도자
11693,트렌드,trend(영),"유행, 경향"
11692,트레킹,trekking(영),도보 여행
11691,트레일플레이,trail play(영),뒤에서 되받기
11690,트레인01,train(영),기차놀이 활강
11689,트레이드 머니,trade money(영),이적료
11688,트레이드,trade(영),선수 교환
11687,트레이닝,beauty training(영),미용 훈련
11686,트레이 필러,tray filler(영),구러련 충전기
11685,트레이 피더,tray feeder(영),담배상자 공급기
11684,트러블 샷,trouble shot(영),험지(險地) 쳐내기
11683,트러디셔널하다,traditional(영)--,전통적이다
11682,트랩,trap(영),"무대 밑 장치, 무대 밑 통로"
11681,"트랜치, 사일로","trench(영), silo(영)",지하 저장고
11680,트랜스젠더,transgender(영),성 전환자
11679,트랜스미션,transmission(영),전송
11678,트랜스 플럭서,trans fluxor(영),전자파 교란장치(電磁波攪亂裝置)
11677,트랙업,track up(영),앞으로 이동
11676,트랙백,track back(영),뒤로 이동
11675,트랙 폴로,track follow(영),따라 이동찍기
11674,트래핑,trapping(영),① 사다리놓기 ② 공다루기
11673,트래픽,traffic(영),"소통, 소통량"
11672,트래직 플로,tragic flaw(영),비극적 결함
11671,트래지코미디,tragicomedy(영),희비극
11670,트래지디,tragedy(영),비극
11669,트래이딩 플로어,trading floor(영),"거래장, 매매장"
11668,트래벌러 커튼,traveler curtain(영),열림막
11667,트래버스 포지션,traverse position(영),가로지름 자세
11666,트래버스,traverse(영),가로지름 활주
11665,트라이앵글앤드 투,triangleand two(영),2・3 혼합 수비
11664,트라이앵글 플레이,triangle play(영),삼각 공격
11663,트라이앵글 패스,triangle pass(영),"삼각 주고받기, 3각 주기"
11662,트라이아웃,try out(영),① 실력 점검 ② 공개 선발 시험
11661,트라우마,,"사고 후유 장애, 사고 후유 정신 장애"
11660,튜터리얼 프로그램,tutorial program(영),"지침 프로그램, 학습 프로그램"
11659,튜터리얼,tutorial(영),"지침서, 지침 프로그램, 학습서, 학습 프로그램"
11658,튜닝,tuning(영),"① 조율 ② 개조, 부분 개조"
11657,툴키트,toolkit(영),연장 모음
11656,툴바,toolbar(영),도구 막대
11655,툴,tool(영),연장
11654,투톱,two top(영),두 주공격수
11653,투잡,two job(영),"겹벌이, 겸업"
11652,투웨이,two-way(영),이원적
11651,투어콘서트,tour concert(영),순회공연
11650,투어링 컴퍼니,touring company(영),순회 극단
11649,투어 스키,tour ski(영),스키 순회 여행
11648,투사형 자세,鬪士型 姿勢,투사 자세
11647,투매,"投賣, なげうり(일)",막팔기
11646,투디멘셔널 시너리,two-dimentional scenery(영),평면 장치
11645,투기하다,投棄--,"버리다, 내버리다"
11644,투광,投光,햇볕들기
11643,투각기법,透刻,"뚫어새김, 투각"
11642,투각,透刻,"뚫음무늬기법, 투각"
11641,투 톱 체제,two top(영) 體製,① 2인 체제 ② 쌍두 체제
11640,투 샤터,two shotter(영),중간 거리 홀
11639,투 런 홈런,two run home run(영),두 점 홈런
11638,퇴행침식,退行浸蝕,후퇴 침식
11637,퇴행 운전,退行運轉,되돌이 운전
11636,퇴적토,堆積土,쌓인 흙
11635,"퇴식구, 퇴식대","退食口, 退食臺",식기 반납하는 곳
11634,퇴설방지공,頹雪防止工,"눈막이, 눈사태막이"
11633,퇴설,頹雪,눈사태
11632,퇴비,堆肥,두엄
11631,퇴결,退決,"송금, 취소, 결제 취소"
11630,퇴거,退去,① 물러감 ② 옮김
11629,통형석부,筒形石斧,통모양석기(cylindrical stone axe)
11628,통직목리,通直木理,곧은나뭇결
11627,통지 의무,通知 義務,"알릴 의무, 계약 후 알릴 의무"
11626,통접합,通接合,통줄눈
11625,통상코일,筒狀 Coil(영),원통코일(圓筒 Coil)
11624,통보하다,通報--,알리다
11623,통보의뢰함,通報依賴-,알려 주시기 바랍니다
11622,통달,通達,"알림, 통첩"
11621,통나무흙매기,,통나무흙막이
11620,통나무항타공,-杭打工,통나무말뚝박기
11619,통나무격자공,-格子工,통나무격자틀붙이기
11618,통과조,通過鳥,나그네새
11617,톱클래스,top class(영),정상급
11616,톱스타,top star(영),인기 연예인
11615,톱기사,top(영) -,머리 기사
11614,톱건,top gun(영),"최고 사격수, 공군 최고 사격수"
11613,톱 오브 스윙,top of swing(영),휘두르기 꼭지
11612,톱 스핀,top spin(영),순회전
11611,톱 브랜드,top brand(영),유명 상표
11610,톱 벤드,top bend(영),"앞쪽 휨, 앞쪽 휨부"
11609,톱 랭커,top ranker(영),수위 선수
11608,톱 가수,top(영) 歌手,"유명 가수, 인기 가수"
11607,톱,top(영),스키코
11606,토호,土豪,"토박이, 지방 세력가"
11605,토핑,topping(영),올려치기
11604,토털솔루션,total solution(영),종합 해결책
11603,토털 시스템,total system(영),종합 체계
11602,토털 서비스,total service(영),종합 서비스
11601,토크 프로,←talk show program(영),이야기 프로
11600,토크 쇼,talk show(영),이야기 쇼
11599,토크,Torque(영),회전력(回轉力)
11598,토치,torch(영),불대
11597,토층,土層,흙층
11596,토지,土芝,흙떼
11595,토적곡선,土積曲線,토량곡선
11594,토적계산,土積計算,토량계산
11593,토장,土場,"임시 집재장, 임시 나무쌓기터"
11592,토입,土入,흙넣기
11591,토육,兔肉,토끼고기
11590,토우판,土羽板,달구판
11589,토언제,土堰堤,흙댐
11588,토양플로라,土壤-flora(영),토양 식물상
11587,토양적극상,土壤的極相,토양 극상
11586,토양의화학적성질,土壤-化學的性質,토양 화학성
11585,토양의물리적성질,土壤-物理的性質,토양 물리성
11584,토양양료,土壤養料,토양 양분
11583,토양살포,土壤撒布,흙속뿌리기
11582,토양,土壤,흙
11581,"토스, 스로 업","toss, throw up(영)","동전 던지기, 공 던져 올리기"
11580,토스 업,toss up(영),공 띄우기
11579,토스,toss(영),"선택하기, 동전 던지기"
11578,토수라,土修羅,흙미끄럼길
11577,토색,土色,"토양색, 흙색"
11576,토류공,土留工,흙막이
11575,토련,土鍊,"반죽, 흙반죽"
11574,토당귀,土當歸,땅두릅
11573,토너먼트,tournament(영),승자진출전
11572,토기,土器,질그릇
11571,토 킥,toe kick(영),발끝차기
11570,토,toe(영),채머리 끝
11569,토,兎,토끼
11568,템퍼러리 파일,temporary file(영),"임시 철, 임시 기록철"
11567,템퍼러리 그린,temporary green(영),임시 그린
11566,텔레파시,telepathy(영),"정신 감응, 영감"
11565,텔레크라피,telegraph(영),전신
11564,텔레뱅킹,telebanking(영),전화 금융 (거래)
11563,텔레메디신,telemedicine(영),"원격 의료, 원격 진료"
11562,텔레매틱스,telematics(영),원격 서비스
11561,텔레마크 랜딩,telemark landing(영),전화 모양 착지
11560,텔레마케팅,telemarketing(영),"전화판매, 통신판매"
11559,텐 세컨트 룰,ten second rule(영),10초 규칙
11558,텍스트 파일,text file(영),"문자 파일, 문서 파일"
11557,텍스트 에디팅,text editing(영),문서 편집
11556,텍스트 에디터,text editor(영),문서 편집기
11555,테트라포드,tetrapod(영),네발 방파석
11554,테크니컬파울,technical foul(영),고의 반칙
11553,테크니컬 파울,technical foul(영),진행 벌칙
11552,테크니컬 디렉터,technical director(영),기술 감독
11551,테크니션,technician(영),기교파
11550,테크놀로지,technology(영),과학 기술
11549,테일 벤드,tail bend(영),"꼬리 휨, 꼬리 휨부"
11548,테이핑,taping(영),테이프 감기
11547,테이프,tape(영),띠
11546,테이크 오프,take off(영),이륙
11545,테이크 어웨이,take away(영),뒤로빼기
11544,테이크 아웃,takeout(영),"포장 구매 , 포장 판매, 사 가기"
11543,테이크 백,take back(영),뒤 들어올림
11542,테이블02,table(영),표
11541,테이블 세팅,table setting(영),상차림
11540,테이블 매너,table manner(영),식사 예절
11539,테스트하다,test(영)--,시험하다
11538,테스트스크리닝,test screening(영),미리보기
11537,테스트 프로그램,test program(영),시험 프로그램
11536,테스트 이벤트,test event(영),"시험 경기, 시험 행사"
11535,테스크,task(영),작업
11534,테마 송,thema song(영)←theme(독),"주제가, 주제곡"
11533,테레빈유,terebene(영)油,솔기름
11532,테러,terror(영),"폭력, 폭행"
11531,테니스 엘보,tennis elbow(영),팔꿈치통증
11530,텀블러,tumbler(영),통컵
11529,턴키 시스템,turnkey system(영),일괄 공급 체계
11528,턴키 공사,turnkey(영) 工事,일괄 공사
11527,턴오버,turnover(영),실책
11526,턴어라운드,Turnaround(영),(기업) 회생
11525,턴 오버,turn over(영),실책
11524,턴 어라운드 슛,turn aroundshoot(영),돌아쏘기
11523,턴,turn(영),돌기
11522,턱,tuck(영),"접박기, 접박기주름"
11521,터프하다,tough(영)--,거칠다
11520,터프,turf(영),잔디
11519,터키탕,Turkey(영)-湯,증기탕
11518,"터칭베이스, 베이스터치","touching base, base touch(영)","루를 짚다, 밟다"
11517,터치라인 아웃,touch line out(영),"옆줄 나감, 옆줄 밖나감"
11516,터치감,touch(영)-感,"촉감, 감촉"
11515,터치03,touch(영),닿기
11514,터치02,touch(영),"자국, 붓자국"
11513,터치 아웃 작전,touch out(영) 作戰,쳐대기 작전
11512,터치 아웃,touch out(영),닿고 나감
11511,터치 라인,touch line(영),옆줄
11510,터치 더 크로스,touch the cross(영),"몸닿기, 몸닿기반칙"
11509,터치 더 네트,touch the net(영),"그물닿기, 그물닿기반칙"
11508,터미널 본드,terminal bond(영),레일 연결선(rail 連結線)
11507,터미널,Terminal(영),단자
11506,터닝포인트,turning point(영),전환점
11505,터닝 슛,turning shoot(영),돌며 쏘기
11504,터닝,tuning(영),세부 조정
11503,탱화,幀畵,"걸개그림, 탱화"
11502,"탱크, 연료 탱크",燃料 tank,"통, 연료통"
11501,탱주,撑柱,중간 기둥
11500,탭 패스,tap pass(영),툭 쳐주기
11499,탭 샷,tap shot(영),쳐서 넣기
11498,탭,tap(영),암나사내기
11497,탠덤 레이스,tandem race(영),2인승 경기
11496,탠덤,tandem(영),2인승 자전거
11495,택배,宅配,"집배달, 문앞 배달"
11494,태클,tackle(영),막기
11493,태비,tabby(영),"민짜기, 평직"
11492,태블로 커튼,tableau curtain(영),펼침막
11491,"태만하다, 태만히하다","怠慢--, 怠慢히--",게을리하다
11490,태내 질식,胎內 窒息,자궁 내 질식
11489,탕상,湯傷,덴 상처
11488,탕비실,湯沸室,준비실
11487,탕감,蕩減,"덜어줌, 아주 덜어줌"
11486,탑신부,塔身部,"탑몸돌, 탑신부"
11485,탈지유,脫脂乳,기름뺀 젖
11484,탈지박,脫脂粕,깻묵
11483,탈지강,脫脂糠,기름 뺀 겨
11482,탈립,脫粒,알떨림
